City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Itarema,BR,-2.9248,-39.9167,80.33,78,38,12.57,scattered clouds
306,Palmer,US,42.1584,-72.3287,60.85,79,75,8.05,broken clouds
307,Kodinsk,RU,58.6881,99.1844,29.91,97,100,5.19,overcast clouds
308,Mahibadhoo,MV,3.7833,72.9667,82.94,75,25,20.15,scattered clouds
309,Bila,BA,43.7825,16.9253,45.34,88,2,2.77,clear sky
310,Faanui,PF,-16.4833,-151.75,78.73,71,99,15.57,overcast clouds
311,Altay,CN,47.8667,88.1167,32.97,93,100,7.36,light snow
312,Husavik,IS,66.0449,-17.3389,33.71,99,100,21.47,moderate rain
313,Smoky Lake,CA,54.1169,-112.4686,42.49,35,0,8.05,clear sky
314,Ures,MX,29.4333,-110.4,89.53,20,91,11.45,overcast clouds
315,Fairview,US,40.8126,-73.999,63.63,71,75,6.91,broken clouds
316,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,83,75,13.8,broken clouds
317,Kalmunai,LK,7.4167,81.8167,78.24,88,67,6.29,broken clouds
318,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,9.22,few clouds
319,Bulawayo,ZW,-20.15,28.5833,70.81,55,2,12.08,clear sky
320,Garmsar,IR,35.2182,52.3409,64.47,47,91,2.53,overcast clouds
321,Richards Bay,ZA,-28.783,32.0377,64.17,89,1,5.12,clear sky
322,Ayame,CI,5.6083,-3.1563,74.88,94,100,4.56,moderate rain
323,Nizhniy Tsasuchey,RU,50.5167,115.1333,25.99,86,14,7.27,few clouds
324,Sarany,RU,58.5,58.8833,35.69,98,100,9.1,overcast clouds
325,Flinders,AU,-34.5833,150.8552,69.06,68,93,1.99,overcast clouds
326,Chulym,RU,55.0997,80.9572,18.45,95,49,8.03,scattered clouds
327,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,56,0,7.0,clear sky
328,Yamada,JP,39.4667,141.95,53.33,79,21,4.09,few clouds
329,Shirokiy,RU,49.758,129.523,23.05,43,18,0.85,few clouds
330,Yulara,AU,-25.2406,130.9889,66.04,77,99,4.61,overcast clouds
331,Zolochiv,UA,49.806,24.8944,41.49,70,0,15.46,clear sky
332,Port Lincoln,AU,-34.7333,135.8667,63.72,48,0,9.31,clear sky
333,Vyazemskiy,RU,47.5378,134.7525,28.33,64,0,2.68,clear sky
334,Bardiyah,LY,31.7561,25.0865,68.67,73,19,30.31,few clouds
335,Port-Gentil,GA,-0.7193,8.7815,78.76,89,75,12.66,light rain
336,Palamos,ES,41.8484,3.1291,67.21,57,100,4.72,overcast clouds
337,Asau,RO,46.4333,26.4,43.72,92,0,2.55,clear sky
338,Karoi,ZW,-16.8099,29.6925,71.74,43,15,4.76,few clouds
339,Fairbanks,US,64.8378,-147.7164,43.14,51,90,10.36,overcast clouds
340,Murgab,TM,37.4966,61.9714,44.47,70,0,0.0,clear sky
341,Mocuba,MZ,-16.8392,36.9856,72.63,93,26,3.29,scattered clouds
342,Amli,IN,20.2833,73.0167,72.03,48,15,4.83,few clouds
343,Tabou,CI,4.423,-7.3528,77.14,89,36,8.66,moderate rain
344,Goderich,CA,43.7501,-81.7165,53.92,71,36,14.97,scattered clouds
345,Seoul,KR,37.5683,126.9778,51.24,100,20,1.14,fog
346,Ugoofaaru,MV,5.6667,73.0,81.46,76,100,17.67,overcast clouds
347,Lazarev,RU,52.225,141.5131,27.43,64,2,6.22,clear sky
